fixture,seed,policy,tol,step,initial_belief,reference,belief,state_delta,accepted_agreement,all_input_agreement,coverage,reference_error,reference_acceptance,rejected_total,reference_rejected_total
frozen,-1,reference_only,0.0,51,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,51,0
frozen,-1,reference_only,0.0,52,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,52,0
frozen,-1,reference_only,0.0,53,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,53,0
frozen,-1,reference_only,0.0,54,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,54,0
frozen,-1,reference_only,0.0,55,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,55,0
frozen,-1,reference_only,0.0,56,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,56,0
frozen,-1,reference_only,0.0,57,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,57,0
frozen,-1,reference_only,0.0,58,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,58,0
frozen,-1,reference_only,0.0,59,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,59,0
frozen,-1,reference_only,0.0,60,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,60,0
frozen,-1,reference_only,0.0,61,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,61,0
frozen,-1,reference_only,0.0,62,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,62,0
frozen,-1,reference_only,0.0,63,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,63,0
frozen,-1,reference_only,0.0,64,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,64,0
frozen,-1,reference_only,0.0,65,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,65,0
frozen,-1,reference_only,0.0,66,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,66,0
frozen,-1,reference_only,0.0,67,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,67,0
frozen,-1,reference_only,0.0,68,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,68,0
frozen,-1,reference_only,0.0,69,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,69,0
