graph_id,source,target,source_value,target_value,rounded_gap,tol
uniform_n80_tol0.049,37,40,0.4625,0.5,0.03749999999999998,0.049
uniform_n80_tol0.049,38,39,0.475,0.4875,0.012500000000000011,0.049
uniform_n80_tol0.049,38,40,0.475,0.5,0.025000000000000022,0.049
uniform_n80_tol0.049,38,41,0.475,0.5125,0.03749999999999998,0.049
uniform_n80_tol0.049,39,40,0.4875,0.5,0.012500000000000011,0.049
uniform_n80_tol0.049,39,41,0.4875,0.5125,0.024999999999999967,0.049
uniform_n80_tol0.049,39,42,0.4875,0.525,0.03750000000000003,0.049
uniform_n80_tol0.049,40,41,0.5,0.5125,0.012499999999999956,0.049
uniform_n80_tol0.049,40,42,0.5,0.525,0.025000000000000022,0.049
uniform_n80_tol0.049,40,43,0.5,0.5375,0.03749999999999998,0.049
uniform_n80_tol0.049,41,42,0.5125,0.525,0.012500000000000067,0.049
uniform_n80_tol0.049,41,43,0.5125,0.5375,0.025000000000000022,0.049
uniform_n80_tol0.049,41,44,0.5125,0.55,0.03750000000000009,0.049
uniform_n80_tol0.049,42,43,0.525,0.5375,0.012499999999999956,0.049
uniform_n80_tol0.049,42,44,0.525,0.55,0.025000000000000022,0.049
uniform_n80_tol0.049,42,45,0.525,0.5625,0.03749999999999998,0.049
uniform_n80_tol0.049,43,44,0.5375,0.55,0.012500000000000067,0.049
uniform_n80_tol0.049,43,45,0.5375,0.5625,0.025000000000000022,0.049
uniform_n80_tol0.049,43,46,0.5375,0.575,0.03749999999999998,0.049
uniform_n80_tol0.049,44,45,0.55,0.5625,0.012499999999999956,0.049
uniform_n80_tol0.049,44,46,0.55,0.575,0.02499999999999991,0.049
uniform_n80_tol0.049,44,47,0.55,0.5875,0.03749999999999998,0.049
uniform_n80_tol0.049,45,46,0.5625,0.575,0.012499999999999956,0.049
uniform_n80_tol0.049,45,47,0.5625,0.5875,0.025000000000000022,0.049
uniform_n80_tol0.049,45,48,0.5625,0.6,0.03749999999999998,0.049
uniform_n80_tol0.049,46,47,0.575,0.5875,0.012500000000000067,0.049
uniform_n80_tol0.049,46,48,0.575,0.6,0.025000000000000022,0.049
uniform_n80_tol0.049,46,49,0.575,0.6125,0.03750000000000009,0.049
uniform_n80_tol0.049,47,48,0.5875,0.6,0.012499999999999956,0.049
uniform_n80_tol0.049,47,49,0.5875,0.6125,0.025000000000000022,0.049
uniform_n80_tol0.049,47,50,0.5875,0.625,0.03749999999999998,0.049
uniform_n80_tol0.049,48,49,0.6,0.6125,0.012500000000000067,0.049
uniform_n80_tol0.049,48,50,0.6,0.625,0.025000000000000022,0.049
uniform_n80_tol0.049,48,51,0.6,0.6375,0.03749999999999998,0.049
uniform_n80_tol0.049,49,50,0.6125,0.625,0.012499999999999956,0.049
