seed,run_a,run_b,order_a,order_b,token,input_value,step_a,step_b,belief_before_a,belief_before_b,accepted_a,accepted_b,gap_a,gap_b
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,61,0.0,62,46,0.0,0.42499999999999993,True,False,0.0,0.42499999999999993
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,62,0.0,63,48,0.0,0.3999999999999999,True,False,0.0,0.3999999999999999
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,63,0.0,64,50,0.0,0.375,True,False,0.0,0.375
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,64,0.0,65,52,0.0,0.35,True,False,0.0,0.35
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,65,0.0,66,54,0.0,0.32499999999999996,True,False,0.0,0.32499999999999996
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,66,0.0,67,56,0.0,0.29999999999999993,True,False,0.0,0.29999999999999993
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,67,0.0,68,58,0.0,0.2749999999999999,True,False,0.0,0.2749999999999999
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,68,0.0,69,60,0.0,0.25,True,False,0.0,0.25
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,69,0.0,70,62,0.0,0.22499999999999998,True,False,0.0,0.22499999999999998
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,70,0.0,71,64,0.0,0.19999999999999996,True,False,0.0,0.19999999999999996
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,71,0.0,72,66,0.0,0.17499999999999993,True,False,0.0,0.17499999999999993
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,72,0.0,73,68,0.0,0.1499999999999999,True,False,0.0,0.1499999999999999
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,73,0.0,74,70,0.0,0.125,True,False,0.0,0.125
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,74,0.0,75,72,0.0,0.09999999999999998,True,False,0.0,0.09999999999999998
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,75,0.0,76,74,0.0,0.07499999999999996,True,False,0.0,0.07499999999999996
7,control_E_gradual_seed7,order_shuffled_seed7,descending,shuffled,1,0.95,2,18,0.975,1.0,True,False,0.025000000000000022,0.050000000000000044
7,control_E_gradual_seed7,order_shuffled_seed7,descending,shuffled,2,0.925,3,4,0.95,1.0,True,False,0.02499999999999991,0.07499999999999996
