graph_id,tol,step,belief_before,input_value,accepted,belief_after
witness_augmented_n40_tol0.05,0.05,4,0.8500000000000002,0.8000000000000003,True,0.8000000000000003
witness_augmented_n40_tol0.05,0.05,5,0.8000000000000003,0.7500000000000003,True,0.7500000000000003
witness_augmented_n40_tol0.05,0.05,6,0.7500000000000003,0.7000000000000004,True,0.7000000000000004
witness_augmented_n40_tol0.05,0.05,7,0.7000000000000004,0.6500000000000005,True,0.6500000000000005
witness_augmented_n40_tol0.05,0.05,8,0.6500000000000005,0.6000000000000005,True,0.6000000000000005
witness_augmented_n40_tol0.05,0.05,9,0.6000000000000005,0.5500000000000006,True,0.5500000000000006
witness_augmented_n40_tol0.05,0.05,10,0.5500000000000006,0.5000000000000007,True,0.5000000000000007
witness_augmented_n40_tol0.05,0.05,11,0.5000000000000007,0.4500000000000007,True,0.4500000000000007
witness_augmented_n40_tol0.05,0.05,12,0.4500000000000007,0.4000000000000007,True,0.4000000000000007
witness_augmented_n40_tol0.05,0.05,13,0.4000000000000007,0.3500000000000007,True,0.3500000000000007
witness_augmented_n40_tol0.05,0.05,14,0.3500000000000007,0.3000000000000007,True,0.3000000000000007
witness_augmented_n40_tol0.05,0.05,15,0.3000000000000007,0.2500000000000007,True,0.2500000000000007
witness_augmented_n40_tol0.05,0.05,16,0.2500000000000007,0.20000000000000073,True,0.20000000000000073
witness_augmented_n40_tol0.05,0.05,17,0.20000000000000073,0.15000000000000074,True,0.15000000000000074
witness_augmented_n40_tol0.05,0.05,18,0.15000000000000074,0.10000000000000074,True,0.10000000000000074
witness_augmented_n40_tol0.05,0.05,19,0.10000000000000074,0.05000000000000074,True,0.05000000000000074
witness_augmented_n40_tol0.05,0.05,20,0.05000000000000074,7.320533068622126e-16,True,7.320533068622126e-16
witness_augmented_n40_tol0.05,0.05,21,7.320533068622126e-16,0.0,True,0.0
